City,Country,Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather
Mexico City,Mexico,2025-05-23T23:27:24.973622,25.2,34,3.8055555555555554,Partly cloudy
Tokyo,Japan,2025-05-23T23:17:00.313255,18.1,73,4.388888888888889,Partly cloudy
Tokyo,Japan,2025-05-23T22:00:25.135031,17.3,77,4.5,Partly cloudy
Tokyo,Japan,2025-05-23T21:41:06.633718,17.1,77,5.111111111111111,Partly cloudy
Tokyo,Japan,2025-05-16T22:26:55.773084,20.3,88,6.111111111111111,Light rain
Berlin,Germany,2025-05-24T03:32:00,15.4,47,2.7,Clear
Tokyo,Japan,2025-05-17T01:20:43.787399,20.1,94,5.305555555555556,Light rain
Tokyo,Japan,2025-05-17T01:31:05.185593,20.3,94,5.305555555555556,Light rain
Mexico City,Mexico,2025-05-15T18:39:11.848573,16.1,36,1.0,Clear
New York,US,2025-05-23T23:27:16.923844,15.0,62,5.805555555555555,Partly cloudy
Tokyo,Japan,2025-05-23T22:37:12.859991,18.2,77,4.5,Partly cloudy
New York,US,2025-05-15T18:38:57.080602,16.1,97,2.5,Mist
Tokyo,Japan,2025-05-23T22:42:24.730524,18.2,77,4.5,Partly cloudy
London,UK,2025-05-24T03:32:00,12.9,67,4.4,Cloudy
Tokyo,Japan,2025-05-15T18:39:02.186345,20.3,88,5.5,Partly cloudy
Tokyo,Japan,2025-05-17T00:54:48.323313,18.1,92,4.0,Moderate rain
Tokyo,Japan,2025-05-17T01:41:26.157550,20.3,94,5.305555555555556,Light rain
Swabi,Pakistan,2025-05-24T04:06:00,29.6,30,1.0,Clear
Tokyo,Japan,2025-05-23T23:01:29.626990,18.2,77,4.388888888888889,Partly cloudy
Tokyo,Japan,2025-05-23T22:32:02.155971,18.2,77,4.5,Partly cloudy
Tokyo,Japan,2025-05-17T00:34:00.855619,18.1,92,4.0,Moderate rain
Tokyo,Japan,2025-05-17T01:15:33.435726,20.1,94,5.305555555555556,Light rain
Tokyo,Japan,2025-05-23T23:06:39.691622,18.2,77,4.388888888888889,Partly cloudy
Tokyo,Japan,2025-05-16T22:18:22.160434,20.3,88,6.111111111111111,Light rain
Tokyo,Japan,2025-05-17T01:46:36.445858,20.3,94,5.305555555555556,Light rain
Tokyo,Japan,2025-05-17T00:08:05.340653,19.0,94,4.0,Light rain
Tokyo,Japan,2025-05-17T01:36:15.791522,20.3,94,5.305555555555556,Light rain
Tokyo,Japan,2025-05-17T00:18:26.734337,19.0,94,4.0,Light rain
Tokyo,Japan,2025-05-23T20:59:27.992293,17.3,77,4.888888888888889,Partly cloudy
Tokyo,Japan,2025-05-23T21:04:39.490690,17.2,77,5.111111111111111,Partly cloudy
Tokyo,Japan,2025-05-23T23:11:50.016040,18.2,77,4.388888888888889,Partly cloudy
Tokyo,Japan,2025-05-23T21:15:01.840401,17.2,77,5.111111111111111,Partly cloudy
Tokyo,Japan,2025-05-17T00:39:12.337226,18.1,92,4.0,Moderate rain
Tokyo,Japan,2025-05-16T22:08:58.433976,19.3,94,6.111111111111111,Light rain
Tokyo,Japan,2025-05-23T21:47:38.588486,17.1,77,5.111111111111111,Partly cloudy
Tokyo,Japan,2025-05-17T00:28:49.020623,19.0,94,4.0,Light rain
Tokyo,Japan,2025-05-23T22:21:42.123897,18.2,77,4.5,Partly cloudy
Tokyo,Japan,2025-05-23T21:25:27.518675,17.3,77,5.111111111111111,Partly cloudy
Tokyo,Japan,2025-05-16T22:03:38.366563,19.3,94,6.111111111111111,Light rain
Tokyo,Japan,2025-05-16T22:03:38.366563,19.3,94,6.111111111111111,Light rain
Tokyo,Japan,2025-05-17T01:05:10.919667,18.4,91,5.305555555555556,Light rain
Tokyo,Japan,2025-05-23T22:56:19.490515,18.4,77,4.5,Partly cloudy
Tokyo,Japan,2025-05-17T00:49:37.747340,18.1,92,4.0,Moderate rain
Tokyo,Japan,2025-05-23T21:55:11.817348,17.3,77,5.111111111111111,Partly cloudy
Tokyo,Japan,2025-05-16T22:18:22.160434,20.3,88,6.111111111111111,Light rain
Tokyo,Japan,2025-05-17T00:02:55.050468,19.0,94,4.0,Light rain
Tokyo,Japan,2025-05-23T21:30:41.819273,17.3,77,5.111111111111111,Partly cloudy
Tokyo,Japan,2025-05-17T00:59:59.619035,18.1,92,4.0,Moderate rain
Tokyo,Japan,2025-05-23T21:09:49.671783,17.2,77,5.111111111111111,Partly cloudy
