timestamp,source,city,country,coordinates,temperature,humidity,pressure,wind_speed,wind_direction,clouds,weather_condition,weather_description,temperature_fahrenheit,processed_timestamp,heat_index_fahrenheit,heat_index_celsius,weather_severity
2025-05-17T00:22:26.262014,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:49.891447,weatherapi,Mexico City,Mexico,"{'lat': 19.4285, 'lon': -99.1277}",29.3,29,1021.0,1.611111111111111,90,75,Partly cloudy,Partly cloudy,84.74,2025-05-17T00:23:19.519130Z,82.519625952304,28.066458862391112,normal
2025-05-17T00:22:59.441925,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:22:12.261985,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:22:23.967215,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.0,71,1024.0,4.0,15,100,Overcast,Overcast,51.8,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:16:07.593067,weatherapi,Berlin,Germany,"{'lat': 52.5167, 'lon': 13.4}",11.0,62,1014.0,4.5,287,0,Partly Cloudy,Partly Cloudy,51.8,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:13:19.794769,weatherapi,Mexico City,Mexico,"{'lat': 19.4285, 'lon': -99.1277}",29.1,29,1021.0,1.611111111111111,90,75,Partly cloudy,Partly cloudy,84.38000000000001,2025-05-17T00:23:19.519130Z,82.2189505809761,27.899416989431167,normal
2025-05-17T00:22:45.466544,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:35.230479,weatherapi,Berlin,Germany,"{'lat': 52.5167, 'lon': 13.4}",11.3,62,1014.0,4.5,287,0,Partly Cloudy,Partly Cloudy,52.34,2025-05-17T00:23:19.519130Z,,,normal
2025-05-16T23:48:33.194889,weatherapi,Berlin,Germany,"{'lat': 52.5167, 'lon': 13.4}",11.2,62,1014.0,4.305555555555555,293,0,Partly Cloudy,Partly Cloudy,52.16,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:17.356132,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-16T23:48:34.303657,weatherapi,Berlin,Germany,"{'lat': 52.5167, 'lon': 13.4}",11.2,62,1014.0,4.305555555555555,293,0,Partly Cloudy,Partly Cloudy,52.16,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:22:22.519301,weatherapi,Mexico City,Mexico,"{'lat': 19.4285, 'lon': -99.1277}",29.3,29,1021.0,1.611111111111111,90,75,Partly cloudy,Partly cloudy,84.74,2025-05-17T00:23:19.519130Z,82.519625952304,28.066458862391112,normal
2025-05-17T00:21:28.954710,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.0,71,1024.0,4.0,15,100,Overcast,Overcast,51.8,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:25.453678,weatherapi,Mexico City,Mexico,"{'lat': 19.4285, 'lon': -99.1277}",29.3,29,1021.0,1.611111111111111,90,75,Partly cloudy,Partly cloudy,84.74,2025-05-17T00:23:19.519130Z,82.519625952304,28.066458862391112,normal
2025-05-17T00:22:25.043343,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.0,71,1024.0,4.0,15,100,Overcast,Overcast,51.8,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:22:57.863862,weatherapi,Mexico City,Mexico,"{'lat': 19.4285, 'lon': -99.1277}",29.3,29,1021.0,1.611111111111111,90,75,Partly cloudy,Partly cloudy,84.74,2025-05-17T00:23:19.519130Z,82.519625952304,28.066458862391112,normal
2025-05-17T00:21:39.678710,weatherapi,Berlin,Germany,"{'lat': 52.5167, 'lon': 13.4}",11.3,62,1014.0,4.5,287,0,Partly Cloudy,Partly Cloudy,52.34,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:13:12.210413,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.0,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.0,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:31.276404,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:23:09.911124,weatherapi,Mexico City,Mexico,"{'lat': 19.4285, 'lon': -99.1277}",29.3,29,1021.0,1.611111111111111,90,75,Partly cloudy,Partly cloudy,84.74,2025-05-17T00:23:19.519130Z,82.519625952304,28.066458862391112,normal
2025-05-17T00:22:27.606180,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:41.251006,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:13:14.009641,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.2,71,1024.0,4.0,15,100,Overcast,Overcast,52.16,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:50.021754,weatherapi,Berlin,Germany,"{'lat': 52.5167, 'lon': 13.4}",11.3,62,1014.0,4.5,287,0,Partly Cloudy,Partly Cloudy,52.34,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:45.503582,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:22:22.378062,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:26.754201,weatherapi,New York,US,"{'lat': 40.7142, 'lon': -74.0064}",20.2,87,1006.0,3.8055555555555554,149,0,Overcast,Overcast,68.36,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:22:31.255362,weatherapi,Mexico City,Mexico,"{'lat': 19.4285, 'lon': -99.1277}",29.3,29,1021.0,1.611111111111111,90,75,Partly cloudy,Partly cloudy,84.74,2025-05-17T00:23:19.519130Z,82.519625952304,28.066458862391112,normal
2025-05-17T00:21:43.407741,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.0,71,1024.0,4.0,15,100,Overcast,Overcast,51.8,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:13:15.893923,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:23:01.794617,weatherapi,London,UK,"{'lat': 51.5171, 'lon': -0.1062}",11.0,71,1024.0,4.0,15,100,Overcast,Overcast,51.8,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:21:21.408721,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
2025-05-17T00:22:50.815596,weatherapi,Tokyo,Japan,"{'lat': 35.6895, 'lon': 139.6917}",19.0,94,1013.0,4.0,172,75,Light rain,Light rain,66.2,2025-05-17T00:23:19.519130Z,,,normal
